"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
4522496148,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/186344807","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Scalesia","Scalesia pedunculata","","SPECIES","Scalesia pedunculata Hook.fil.","Scalesia pedunculata","","EC","","Galápagos","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-0.861629,-89.44679,31449,NA,NA,NA,NA,NA,"2023-10-05T16:40:43",5,10,2023,3147698,3147698,"HUMAN_OBSERVATION","iNaturalist","Observations",186344807,"","nelson_miranda",2024-01-28 03:07:44,"CC_BY_NC_4_0","Rok Lobnik","Rok Lobnik",NA,NA,2024-11-02 16:14:57.154,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4516853370,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/197111253","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Scalesia","Scalesia pedunculata","","SPECIES","Scalesia pedunculata Hook.fil.","Scalesia pedunculata","","EC","","Galápagos","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-0.676535,-90.432661,31450,NA,NA,NA,NA,NA,"2023-12-31T14:56:14",31,12,2023,3147698,3147698,"HUMAN_OBSERVATION","iNaturalist","Observations",197111253,"","Zihao Wang",2024-01-20 03:33:42,"CC_BY_4_0","Zihao Wang","Zihao Wang",NA,NA,2024-11-02 16:23:54.463,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4516788553,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/188278552","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Scalesia","Scalesia pedunculata","","SPECIES","Scalesia pedunculata Hook.fil.","Scalesia pedunculata","","EC","","Galápagos","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-0.603468,-90.260115,31450,NA,NA,NA,NA,NA,"2023-10-02T12:42",2,10,2023,3147698,3147698,"HUMAN_OBSERVATION","iNaturalist","Observations",188278552,"","Alex Lamoreaux",2023-10-20 17:30:03,"CC_BY_NC_4_0","Alex Lamoreaux","Alex Lamoreaux",NA,NA,2024-11-02 16:16:21.525,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4516451358,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/197105975","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Scalesia","Scalesia pedunculata","","SPECIES","Scalesia pedunculata Hook.fil.","Scalesia pedunculata","","EC","","Galápagos","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-0.684102,-90.380253,31450,NA,NA,NA,NA,NA,"2024-01-11T10:11:38",11,1,2024,3147698,3147698,"HUMAN_OBSERVATION","iNaturalist","Observations",197105975,"","Ana Mireya Guerrero G.",2024-01-20 15:25:38,"CC_BY_NC_4_0","jaredtrader","jaredtrader",NA,NA,2024-11-02 16:19:47.6,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4516278530,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/188095342","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Scalesia","Scalesia pedunculata","","SPECIES","Scalesia pedunculata Hook.fil.","Scalesia pedunculata","","EC","","Galápagos","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-0.682956,-90.459155,31450,NA,NA,NA,NA,NA,"2023-10-02T14:55:20",2,10,2023,3147698,3147698,"HUMAN_OBSERVATION","iNaturalist","Observations",188095342,"","Alex Lamoreaux",2023-10-20 17:05:04,"CC_BY_NC_4_0","Alex Lamoreaux","Alex Lamoreaux",NA,NA,2024-11-02 16:23:40.4,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4516270248,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/180197137","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Scalesia","Scalesia pedunculata","","SPECIES","Scalesia pedunculata Hook.fil.","Scalesia pedunculata","","EC","","Galápagos","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-0.705824,-90.302103,31450,NA,NA,NA,NA,NA,"2023-08-25T17:35:32",25,8,2023,3147698,3147698,"HUMAN_OBSERVATION","iNaturalist","Observations",180197137,"","Daniel Arias-Cruzatty",2023-08-26 00:56:31,"CC_BY_NC_4_0","Daniel Arias-Cruzatty","Daniel Arias-Cruzatty",NA,NA,2024-11-02 15:47:04.144,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4512309908,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/196579106","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Scalesia","Scalesia pedunculata","","SPECIES","Scalesia pedunculata Hook.fil.","Scalesia pedunculata","","EC","","Galápagos","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-1.328427,-90.456313,31447,NA,NA,NA,NA,NA,"2023-06-15T11:08",15,6,2023,3147698,3147698,"HUMAN_OBSERVATION","iNaturalist","Observations",196579106,"","Noreen Baker",2024-01-13 21:36:10,"CC_BY_NC_4_0","Noreen Baker","Noreen Baker",NA,NA,2024-11-02 15:51:20.095,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4500735797,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/116222102","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Scalesia","Scalesia pedunculata","","SPECIES","Scalesia pedunculata Hook.fil.","Scalesia pedunculata","","EC","","Galápagos","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-0.720375,-90.466849,31450,NA,NA,NA,NA,NA,"2022-04-24T15:25",24,4,2022,3147698,3147698,"HUMAN_OBSERVATION","iNaturalist","Observations",116222102,"","nelson_miranda",2023-08-07 19:41:13,"CC0_1_0","Henry Fabian","Henry Fabian",NA,NA,2024-11-02 16:08:13.611,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4500548393,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/182744039","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Scalesia","Scalesia pedunculata","","SPECIES","Scalesia pedunculata Hook.fil.","Scalesia pedunculata","","EC","","Galápagos","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-0.658698,-90.434471,31450,NA,NA,NA,NA,NA,"2023-04-08T15:11:06",8,4,2023,3147698,3147698,"HUMAN_OBSERVATION","iNaturalist","Observations",182744039,"","Ana Mireya Guerrero G.",2023-09-25 23:49:04,"CC_BY_NC_4_0","Oliver Malatich","Oliver Malatich",NA,NA,2024-11-02 15:45:38.11,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4442734768,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/191551380","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Scalesia","Scalesia pedunculata","","SPECIES","Scalesia pedunculata Hook.fil.","Scalesia pedunculata","","EC","","Galápagos","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-0.909062,-89.547765,31449,NA,NA,NA,NA,NA,"2023-03-31T09:00:42",31,3,2023,3147698,3147698,"HUMAN_OBSERVATION","iNaturalist","Observations",191551380,"","sfrn",2023-11-20 04:28:46,"CC_BY_NC_4_0","sfrn","sfrn",NA,NA,2024-11-02 16:23:21.695,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
